original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,delay_flag
6941,3116.75,43,1460.0,47.96320630749014,0.449034721221726,0.8965205479452055,Urban Public Transport,Ministry of Housing & Urban Affairs,Madhya Pradesh Metro Rail Co Limited [MPMRCL],1
14788,8424.54,53,1849.0,60.74244415243101,0.5696875845279957,0.8725365062195781,Urban Public Transport,Ministry of Housing & Urban Affairs,Bengaluru Metro Rail,0
26405,29478.0,94,2586.0,84.95400788436268,1.1163794735845485,1.1064810518174788,Urban Public Transport,Ministry of Housing & Urban Affairs,Bengaluru Metro Rail,1
24949,15423.1,68,2188.0,71.87910643889619,0.6181850975991022,0.8365771392879451,Urban Public Transport,Ministry of Housing & Urban Affairs,Delhi Metro Rail Corporation Limited [DMRC],1
7501,3839.27,54,1460.0,47.96320630749014,0.5118344220770564,1.1258630136986305,Urban Public Transport,Ministry of Housing & Urban Affairs,Madhya Pradesh Metro Rail Co Limited [MPMRCL],1
11076,9079.81,73,1826.0,59.98685939553219,0.8197733838931022,1.2169331872946332,Urban Public Transport,Ministry of Housing & Urban Affairs,Uttar Pradesh metro rail corporation [UPMRC],1
1957,306.45,10,1460.0,47.96320630749014,0.1565917220235053,0.2084931506849315,Urban Public Transport,Ministry of Housing & Urban Affairs,CSPCC Projects,0
23136,27519.1,92,3543.0,116.39290407358736,1.1894493430152142,0.7904261924922383,Urban Public Transport,Ministry of Housing & Urban Affairs,Mumbai Metro Rail Corporation Limited [MMRC],1
13366,4039.77,40,1825.0,59.95400788436268,0.3022422564716445,0.6671780821917808,Urban Public Transport,Ministry of Housing & Urban Affairs,Patna Metro Rail Corporation Ltd. [PMRCL],1
12020,7386.41,68,1849.0,60.74244415243101,0.6145099833610649,1.1194808004326664,Urban Public Transport,Ministry of Housing & Urban Affairs,Gujarat Metro Rail Corporation Limited [GMRCL],1
2298,393.0,17,6135.0,201.54402102496715,0.171018276762402,0.0843488182559087,Urban Public Transport,Ministry of Railways,RVNL - II,0
842,208.64,69,2188.0,71.87910643889619,0.2477909738717339,0.8365771392879451,Waste & Water,"Department of Water Resources, River Development & GR",National Mission for Clean Ganga,1
413,126.67,0,2188.0,71.87910643889619,0.3067070217917675,0.8365771392879451,Waste & Water,"Department of Water Resources, River Development & GR",National Mission for Clean Ganga,1
155,96.17,92,2188.0,71.87910643889619,0.6204516129032258,0.8365771392879451,Waste & Water,"Department of Water Resources, River Development & GR",National Mission for Clean Ganga,1
691,0.0,27,1700.0,55.84756898817346,0.0,0.4834588235294118,Waste & Water,"Department of Water Resources, River Development & GR",National Mission for Clean Ganga,1
230,261.48,97,2188.0,71.87910643889619,1.1368695652173917,0.8365771392879451,Waste & Water,"Department of Water Resources, River Development & GR",National Mission for Clean Ganga,1
305,346.44,95,2188.0,71.87910643889619,1.1358688524590164,0.8365771392879451,Waste & Water,"Department of Water Resources, River Development & GR",National Mission for Clean Ganga,1
741,3218.3,100,2188.0,71.87910643889619,4.343184885290149,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation & Water Resources-UP,0
334,803.89,100,2188.0,71.87910643889619,2.40685628742515,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
210,1697.94,97,2188.0,71.87910643889619,8.085428571428572,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
1229,1807.2,79,2188.0,71.87910643889619,1.4704637917005696,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-MP,1
751,777.99,74,2188.0,71.87910643889619,1.0359387483355529,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-MP,1
1353,2689.7,98,2188.0,71.87910643889619,1.9879526977087951,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
256,0.0,0,2188.0,71.87910643889619,0.0,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR","Department of Water Resources, River Development & GR",1
691,978.51,87,2188.0,71.87910643889619,1.4160781476121562,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
744,252.0,50,1004.0,32.98291721419185,0.3387096774193548,1.51593625498008,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
7196,13533.3,72,750.0,24.638633377135346,1.8806698165647584,2.9222400000000004,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
397,610.89,98,2188.0,71.87910643889619,1.538765743073048,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-AP,1
1331,4491.08,92,2188.0,71.87910643889619,3.374214876033058,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
567,2629.74,62,2188.0,71.87910643889619,4.637989417989417,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-OR,1
760,0.0,0,2188.0,71.87910643889619,0.0,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
8201,4558.89,87,2188.0,71.87910643889619,0.5558944031215706,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
989,2563.56,79,2188.0,71.87910643889619,2.592072800808898,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
460,616.93,71,2188.0,71.87910643889619,1.3411521739130434,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-CT,1
974,1069.82,90,3955.0,129.92772667542707,1.098377823408624,0.692692793931732,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
256,1324.78,64,2188.0,71.87910643889619,5.174921875,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
1061,4415.24,82,2188.0,71.87910643889619,4.161394910461828,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation & Water Resources-UP,1
211,623.5,73,2188.0,71.87910643889619,2.954976303317536,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
1622,142.1,32,2188.0,71.87910643889619,0.0876078914919852,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR","Department of Water Resources, River Development & GR",1
648,172.56,3,2188.0,71.87910643889619,0.2662962962962963,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water resource-mp,1
10151,24347.8,83,4836.0,158.86990801576871,2.398561718057334,0.5224400330851944,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-AP,1
571,469.66,44,2188.0,71.87910643889619,0.822521891418564,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-BR,1
848,690.49,69,2188.0,71.87910643889619,0.8142570754716981,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
1402,1839.76,100,2188.0,71.87910643889619,1.3122396576319544,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
1441,2962.99,80,1974.0,64.84888304862024,2.0562040249826508,1.2336372847011146,Water Resources,"Department of Water Resources, River Development & GR",Department of Water Resources-PB,1
353,869.11,95,2188.0,71.87910643889619,2.4620679886685557,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-AP,1
5022,4954.99,90,2188.0,71.87910643889619,0.9866567104739148,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR","Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",1
20718,31767.6,93,2188.0,71.87910643889619,1.5333333333333332,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR","Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",1
1673,0.0,0,2188.0,71.87910643889619,0.0,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation & Water Resources-UP,1
2286,2072.33,80,4525.0,148.65308804204992,0.9065310586176728,0.5381657458563537,Water Resources,"Department of Water Resources, River Development & GR",Department of Water Resources-PB,1
736,940.7,96,2188.0,71.87910643889619,1.278125,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,1
3808,5550.74,69,2188.0,71.87910643889619,1.4576523109243698,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of Water Resources-JH,1
2408,2436.43,80,2188.0,71.87910643889619,1.0118064784053156,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
1449,1837.91,98,-733.0,-24.08015768725361,1.2683988957902002,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources Department-MN,1
368,724.36,99,2188.0,71.87910643889619,1.9683695652173916,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
770,1511.22,99,2188.0,71.87910643889619,1.9626233766233767,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Water Resources-KA,1
581,713.46,76,2188.0,71.87910643889619,1.2279862306368332,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
1059,1530.36,89,2188.0,71.87910643889619,1.445099150141643,0.8365771392879451,Water Resources,"Department of Water Resources, River Development & GR",Department of water resources-MH - II,1
