Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
DELAY PREDICTION MODEL,0.8018867924528302,0.875,0.84,0.8571428571428571,0.861505376344086
COST OVERRUN PREDICTION MODEL,0.654320987654321,0.6923076923076923,0.627906976744186,0.6585365853658537,0.7291921664626682
